id_intervallo,Start,End,Latitude_inizio,Latitude_fine,Longitude_inizio,Longitude_fine,Velocità,"LF[315,1000]_mean","LF[315,1000]_max",classe_acustica,Longitudinal,Transverse,Alligator,Pothole,Manhole,Longitudinal_sx,Transverse_sx,Alligator_sx,Pothole_sx,Manhole_sx,Longitudinal_dx,Transverse_dx,Alligator_dx,Pothole_dx,Manhole_dx,Longitudinal_both,Transverse_both,Alligator_both,Pothole_both,Manhole_both,indice_finale
238,2025-07-31 09:26:19.611550464,2025-07-31 09:26:21.337784320,43.71363754613155,43.71381488212198,10.42126028876148,10.421302881633464,11.722271149138123,-53.19181179479406,-51.73048569676199,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2025-07-31 09:26:21.337784320,2025-07-31 09:26:23.169006592,43.71381488212198,43.71399244061733,10.421302881633464,10.421343661809976,11.141693556450974,-54.52621447325318,-53.23201450989407,0,2,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
240,2025-07-31 09:26:23.169006592,2025-07-31 09:26:25.095045632,43.71399244061733,43.7141699039641,10.421343661809976,10.421385234248122,10.549377424867462,-55.888304567140935,-52.91276872836114,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2025-07-31 09:26:25.095045632,2025-07-31 09:26:27.217430272,43.7141699039641,43.71434703203241,10.421385234248122,10.421429348604018,9.7174141511683,-58.476501040130046,-56.6020064997374,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2025-07-31 09:26:29,2025-07-31 09:26:32.555958016,43.71448166666666,43.71465927200687,10.421461666666668,10.421502039720744,4.146381800653863,-63.0315964411805,-56.23882266478983,-1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
243,2025-07-31 09:27:14,2025-07-31 09:27:21.650349824,43.714713333333336,43.714886596745,10.42151,10.42155658508268,4.181140234133631,-75.76137174329939,-65.82167959141916,-1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244,2025-07-31 09:27:21.650349824,2025-07-31 09:27:25.427944704,43.714886596745,43.71502331870859,10.42155658508268,10.421421477668792,5.266426938845014,-61.50748208416705,-55.990468194402766,-1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2025-07-31 09:27:25.427944704,2025-07-31 09:27:28.080623616,43.71502331870859,43.71506067186399,10.421421477668792,10.421180002219916,7.181243732868693,-57.9087005892553,-55.17798375405753,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2025-07-31 09:27:29,2025-07-31 09:27:31.202942720,43.715068333333335,43.71508268138012,10.421085,10.420837627259308,9.485166002592129,-57.75369466136341,-56.05082515950524,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
247,2025-07-31 09:27:31.202942720,2025-07-31 09:27:33.058320128,43.71508268138012,43.7150918610673,10.420837627259308,10.42058977970536,10.34292144021932,-54.594598771702735,-52.887258978727296,0,1,0,0,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
248,2025-07-31 09:27:33.058320128,2025-07-31 09:27:34.724889344,43.7150918610673,43.7150974162978,10.42058977970536,10.42034172511697,11.659074699069206,-50.8293770967893,-48.53189325120496,1,1,5,0,2,4,1,4,0,0,2,0,1,0,0,0,0,1,0,0,0,1
249,2025-07-31 09:27:34.724889344,2025-07-31 09:27:36.280985344,43.7150974162978,43.71510166666667,10.42034172511697,10.420093637401592,12.56437815720438,-49.62978565820752,-48.01169217963866,1,2,1,0,0,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,2025-07-31 09:27:36.280985344,2025-07-31 09:27:37.784987136,43.71510166666667,43.71510035835458,10.420093637401592,10.419845477103594,13.154739690728803,-51.04290006386289,-49.53267853684635,0,0,0,0,0,3,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2
251,2025-07-31 09:27:37.784987136,2025-07-31 09:27:39.277649152,43.71510035835458,43.71509314900564,10.419845477103594,10.419597521222968,13.353210777902277,-48.92137318690898,-46.31103813998168,1,2,2,0,3,4,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1
252,2025-07-31 09:27:39.277649152,2025-07-31 09:27:40.794697728,43.71509314900564,43.71508171085304,10.419597521222968,10.41934985721575,13.261138859981957,-52.03704674789349,-51.36978325330952,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
253,2025-07-31 09:27:40.794697728,2025-07-31 09:27:42.342828288,43.71508171085304,43.715068238384205,10.41934985721575,10.419102385527742,13.000309740945855,-48.437883749069805,-47.69962471113559,1,3,6,0,0,1,1,7,2,0,3,5,3,0,0,0,0,3,0,0,0,2
254,2025-07-31 09:27:42.342828288,2025-07-31 09:27:43.913873152,43.715068238384205,43.71505252793465,10.419102385527742,10.418855159865137,12.786251335389665,-48.584180655036114,-45.88346062943369,2,4,5,0,0,2,1,3,0,0,1,2,4,0,0,0,0,1,0,0,0,1
255,2025-07-31 09:27:43.913873152,2025-07-31 09:27:45.511075840,43.71505252793465,43.71503403744878,10.418855159865137,10.418608301707778,12.58802163536066,-48.88103072407596,-45.50361121575729,2,2,1,0,0,1,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,3
256,2025-07-31 09:27:45.511075840,2025-07-31 09:27:47.119475712,43.71503403744878,43.71501527278453,10.418608301707778,10.418361481280318,12.465432940883494,-47.88616223190672,-44.66988779934513,2,5,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,1
257,2025-07-31 09:27:47.119475712,2025-07-31 09:27:48.712036352,43.71501527278453,43.71499669290823,10.418361481280318,10.418114634352166,12.499574107114324,-47.94287117482002,-43.95038436066572,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
258,2025-07-31 09:27:48.712036352,2025-07-31 09:27:50.272105984,43.71499669290823,43.7149789456076,10.418114634352166,10.417867676211769,12.726052376304466,-48.40128369780413,-46.2286657814508,2,1,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,2
259,2025-07-31 09:27:50.272105984,2025-07-31 09:27:51.808854272,43.7149789456076,43.71496223003376,10.417867676211769,10.417620583320096,12.93763125291241,-47.88317110441965,-46.54272098298528,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3
260,2025-07-31 09:27:51.808854272,2025-07-31 09:27:53.382728960,43.71496223003376,43.71494450604451,10.417620583320096,10.41737361945282,12.797851759359013,-47.75235420307975,-46.32508069475087,1,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2
261,2025-07-31 09:27:53.382728960,2025-07-31 09:27:55.141250560,43.71494450604451,43.714929058329794,10.41737361945282,10.417126364525789,11.729111715888436,-50.84254939083017,-47.22757270262672,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
